player,player_id,position,player_game_count,team_name,run_snaps,tackles,assists,misses,stops,stop_percent
Jordan Taylor,9793,WR,1,DEN,1,1,0,0,1,100.0
Shane Smith,12238,TE,1,NYG,1,1,0,0,1,100.0
Elijhaa Penny,11300,HB,2,ARZ,2,1,0,0,1,50.0
Tyrique Jarrett,48790,DI,1,DEN,2,1,0,0,1,50.0
Anthony Johnson,9109,DI,1,IND,2,1,0,0,1,50.0
David Parry,9584,DI,1,NO,3,1,0,0,1,33.3
Jayron Kearse,10878,S,2,MIN,9,2,1,0,2,22.2
Claude Pelon,11264,DI,1,NYJ,10,2,1,1,2,20.0
Howard Jones,8909,ED,4,CHI,10,2,0,0,2,20.0
Deiontrez Mount,9610,ED,3,DEN,21,5,1,0,4,19.0
Nigel Harris,12038,LB,5,TB,11,3,1,0,2,18.2
Kentrell Brothers,10794,LB,1,MIN,6,1,1,0,1,16.7
Blair Brown,11903,LB,5,JAX,26,8,1,0,4,15.4
Chase Allen,12211,LB,14,MIA,127,25,6,2,19,15.0
Martrell Spaight,9574,LB,10,WAS,178,33,8,5,26,14.6
Xavier Williams,9809,DI,11,ARZ,110,16,2,2,16,14.5
William Gay,3786,CB,10,PIT,21,3,0,2,3,14.3
Marqui Christian,10801,S,9,LA,21,3,0,0,3,14.3
Scooby Wright III,10884,LB,2,ARZ,7,1,1,0,1,14.3
Denzel Perryman,9481,LB,7,LAC,102,19,2,4,14,13.7
Brandon Graham,5538,ED,15,PHI,183,31,3,4,25,13.7
Tenny Palepoi,9028,ED,15,LAC,110,18,4,2,15,13.6
Anthony Hitchens,8754,LB,12,DAL,221,41,10,1,30,13.6
DeMarcus Walker,11806,ED,10,DEN,44,6,0,0,6,13.6
Vincent Taylor,11949,DI,12,MIA,89,17,2,0,12,13.5
Damon Harrison Sr.,7355,DI,16,NYG,299,46,15,3,40,13.4
Will Compton,8308,LB,5,WAS,61,9,3,0,8,13.1
Tony McDaniel,3423,DI,5,NO,46,7,1,0,6,13.0
Sean Lee,5580,LB,11,DAL,208,39,16,4,27,13.0
Steve McLendon,5232,DI,16,NYJ,242,33,8,2,31,12.8
Alex Okafor,7885,ED,10,NO,167,26,3,0,21,12.6
Jaylen Hill,37997,CB,2,BLT,8,1,0,0,1,12.5
Jonathan Anderson,9998,LB,2,CHI,16,4,0,1,2,12.5
Deon Lacey,8512,LB,3,BUF,8,1,0,0,1,12.5
Obi Melifonwu,11811,S,2,OAK,8,1,0,0,1,12.5
Jurrell Casey,6229,DI,16,TEN,283,45,9,1,35,12.4
Michael Brockers,7020,DI,16,LA,237,34,10,3,29,12.2
Treston Decoud,11924,CB,4,HST,25,4,0,0,3,12.0
D.J. Alexander,9605,ED,1,SEA,17,2,1,0,2,11.8
Michael Pierce,11101,DI,16,BLT,289,37,13,2,34,11.8
Brooks Reed,6194,ED,16,ATL,204,26,7,4,24,11.8
