year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2017,Jonathan Anderson,9998,LB,2,CHI,11,1,0,0,0,0,0,39.6,0,11,
2017,A.J. Green,6156,WR,1,CIN,1,1,0,0,0,0,0,39.6,0,1,
2017,Trey Hendrickson,11858,ED,12,NO,3,1,0,0,0,0,0,39.6,0,3,
2017,Sheldon Rankins,10646,DI,16,NO,7,2,0,0,0,0,1,0,0,3.5,
2017,Torry McTyer,49357,CB,2,MIA,34,1,0,0,0,0,0,39.6,0,34,
2017,Nazair Jones,11857,DI,11,SEA,3,2,0,0,0,0,1,0,0,1.5,
2017,Hau'oli Kikaha,9477,ED,12,NO,11,1,0,0,0,0,0,39.6,0,11,
2017,Marqui Christian,10801,S,4,LA,21,2,0,0,0,0,0,39.6,0,10.5,
2017,Rob Gronkowski,5567,TE,1,NE,1,1,0,0,0,0,0,39.6,0,1,
2017,Kalan Reed,10887,CB,2,TEN,5,1,0,0,0,0,0,39.6,0,5,
2017,Tyrone Crawford,7083,ED,16,DAL,13,1,0,0,0,0,0,39.6,0,13,
2017,Stefan McClure,10912,S,3,WAS,9,1,0,0,0,0,0,39.6,0,9,
2017,Eddie Yarbrough,11033,ED,16,BUF,8,1,0,0,0,0,0,39.6,0,8,
2017,Terrence Brooks,8714,S,13,NYJ,72,3,0,0,0,0,2,0,0,24,
2017,Jalen Myrick,11977,CB,2,JAX,12,5,0,0,0,0,0,39.6,0,2.4,
2017,Dee Ford,8658,ED,6,KC,31,3,0,0,0,0,0,39.6,0,10.3,
2017,Leger Douzable,4654,ED,5,SF,1,1,0,0,0,0,0,39.6,0,1,
2017,Chris Banjo,8419,S,5,NO,20,1,0,0,0,0,1,0,0,20,
2017,Solomon Thomas,11758,ED,14,SF,17,1,0,0,0,0,0,39.6,0,17,
2017,Robert Ayers,4941,ED,12,TB,2,1,0,0,0,0,0,39.6,0,2,
2017,Michael Johnson,4993,ED,15,CIN,11,1,0,0,0,0,0,39.6,0,11,
2017,Keenan Allen,7857,WR,2,LAC,2,1,0,0,0,0,1,0,0,2,
2017,Da'Norris Searcy,6252,S,13,TEN,199,5,1,8,7,0,1,0,0.04,39.8,199
2017,Tre Boston,8763,S,16,LAC,581,12,3,19,7,2,5,39.6,0.03,48.4,193.7
2017,Marcus Williams,11797,S,15,NO,572,13,5,77,15,0,4,19.2,0.13,44,114.4
2017,Duron Harmon,7872,S,16,NE,494,9,5,47,28,0,4,30.6,0.1,54.9,98.8
2017,Cody Davis,8458,S,7,LA,164,9,2,23,18,0,1,0,0.14,18.2,82
2017,Mike Mitchell,4970,S,13,PIT,383,11,5,98,14,1,0,107.4,0.26,34.8,76.6
2017,Montae Nicholson,11878,S,7,WAS,190,7,3,22,9,1,1,50.9,0.12,27.1,63.3
