year,player,player_id,position,player_game_count,team_name,grades_punter,attempts,yards,average_yards_per_attempt,average_net_yards,long,inside_twenties,blocks,percent_returned,returns,return_yards,average_yards_per_return,touchbacks,out_of_bounds,downeds,fair_catches,attempts_with_hangtime,average_hangtime
2017,Shane Lechler,673,P,16,HST,73.8,92,4507,48.99,41.29,68,42,0,53.3,49,608,12.4,5,8,8,22,92,4.36
2017,Andy Lee,1906,P,16,ARZ,67.8,88,4159,47.26,39.69,63,38,0,54.5,48,506,10.5,8,6,13,13,88,4.32
2017,Donnie Jones,1939,P,16,PHI,56.8,67,3033,45.27,40.62,62,27,1,35.8,24,171,7.1,5,7,16,14,67,4.19
2017,Dustin Colquitt,2316,P,16,KC,59.4,65,2936,45.17,41.11,77,37,0,36.9,24,164,6.8,5,5,9,22,65,4.47
2017,Sam Koch,3148,P,16,BLT,69,84,3765,44.82,40.33,67,43,1,40.5,34,277,8.1,3,16,13,18,84,4.3
2017,Matt Prater,3471,K,1,DET,43.1,4,139,34.75,34.75,47,1,0,0,0,0,,0,0,2,2,4,3.72
2017,Jon Ryan,3493,P,16,SEA,67.6,92,4141,45.01,38.79,74,35,0,48.9,45,452,10,6,10,12,19,92,4.29
2017,Brett Kern,4580,P,16,TEN,83.9,75,3728,49.71,44.56,74,36,0,53.3,40,286,7.2,5,16,5,9,75,4.2
2017,Kevin Huber,5066,P,16,CIN,61.1,88,4101,46.6,40.8,63,36,1,48.9,43,410,9.5,3,7,12,23,88,4.22
2017,Thomas Morstead,5088,P,15,NO,92.1,60,2822,47.03,42.22,68,29,0,40,24,249,10.4,2,7,9,18,60,4.57
2017,Britton Colquitt,5192,P,16,CLV,60.9,80,3811,47.64,40.6,67,28,1,56.3,45,482,10.7,2,5,15,13,80,4.25
2017,Matt Bosher,6344,P,16,ATL,73.5,53,2379,44.89,40.75,62,21,0,41.5,22,179,8.1,2,4,3,22,53,4.63
2017,Chris Jones,6798,P,16,DAL,81,66,2908,44.06,41.41,62,43,0,27.3,18,75,4.2,5,9,14,20,66,4.6
2017,Bryan Anger,7072,P,16,TB,70,65,2857,43.95,39.45,62,31,1,41.5,27,153,5.7,5,5,7,21,65,4.55
2017,Brad Nortman,7192,P,16,JAX,65,87,3835,44.08,38.94,65,41,1,34.5,30,228,7.6,9,15,8,25,87,4.38
2017,Johnny Hekker,7252,P,16,LA,78.2,65,3113,47.89,44.32,70,35,0,38.5,25,152,6.1,4,16,8,12,65,4.34
2017,Marquette King,7410,P,16,OAK,81.8,69,3270,47.39,42.68,65,37,0,46.4,32,205,6.4,6,6,10,15,69,4.44
2017,Ryan Quigley,7573,P,16,MIN,80.2,71,2994,42.17,39.17,56,31,0,33.8,24,213,8.9,0,7,7,33,71,4.55
2017,Jeff Locke,7937,P,5,DET,74.5,27,1222,45.26,42.22,54,11,0,40.7,11,82,7.5,0,3,2,11,27,4.47
2017,Sam Martin,7947,P,9,DET,53.2,41,1779,43.39,37.63,64,19,0,34.1,14,116,8.3,6,5,4,12,41,4.2
2017,Colton Schmidt,8104,P,16,BUF,62.3,79,3529,44.67,40.49,60,36,0,48.1,38,210,5.5,6,10,9,16,79,4.22
2017,Ryan Allen,8242,P,16,NE,45.8,58,2515,43.36,40.52,60,28,0,39.7,23,105,4.6,3,5,13,14,58,4.08
2017,Brad Wing,8256,P,16,NYG,47.3,95,4189,44.09,36.71,69,31,2,45.3,43,448,10.4,9,7,16,20,95,4.1
2017,Tress Way,8358,P,16,WAS,77.1,83,3794,45.71,39.02,64,40,0,47,39,435,11.2,6,5,7,26,83,4.53
2017,Brandon McManus,8437,K,1,DEN,60,1,26,26,26,26,1,0,0,0,0,,0,0,1,0,1,3.79
2017,Pat O'Donnell,8826,P,16,CHI,55.3,87,4087,46.98,39.71,69,33,0,56.3,49,512,10.4,6,8,9,15,87,4.19
2017,Kasey Redfern,9155,P,1,DET,60,1,50,50,50,50,0,0,100,1,0,0,0,0,0,0,1,3.81
2017,Michael Palardy,9277,P,16,CAR,72.8,71,3269,46.04,42.44,63,29,0,42.3,30,176,5.9,4,6,10,21,71,4.49
2017,Bradley Pinion,9598,P,16,SF,70.3,75,3255,43.4,41.29,59,36,0,42.7,32,138,4.3,1,8,10,23,75,4.38
2017,Jordan Berry,10236,P,16,PIT,76.2,64,2763,43.17,39.78,62,30,0,35.9,23,177,7.7,2,9,6,24,64,4.5
2017,Drew Kaser,10813,P,15,LAC,59.6,74,3558,48.08,41.34,69,42,0,64.9,48,319,6.6,9,4,7,6,74,4.1
2017,Riley Dixon,10862,P,16,DEN,57.2,73,3331,45.63,40.17,60,27,2,41.1,30,258,8.6,3,5,12,23,73,4.23
2017,Lachlan Edwards,10869,P,16,NYJ,58.4,94,4378,46.57,40.5,70,40,0,52.1,49,491,10,4,8,10,23,94,4.18
2017,Zane Gonzalez,11979,K,1,CLV,60,1,16,16,16,16,0,0,0,0,0,,0,1,0,0,1,3.23
2017,Justin Vogel,12119,P,16,GB,54.2,71,3155,44.44,41.56,62,24,0,40.8,29,164,5.7,2,8,8,24,71,4.34
2017,Rigoberto Sanchez,12130,P,16,IND,74.2,84,3764,44.81,42.64,61,33,1,20.2,17,80,4.7,3,16,19,27,84,4.38
2017,Matt Haack,12212,P,16,MIA,59,83,3695,44.52,40.66,64,38,0,42.2,35,220,6.3,5,6,17,20,83,4.31
