year,player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
2017,Adam Vinatieri,226,K,15,IND,0,0,0,0,0,59,60.4,,,,,69.5,0,0,0,0,0
2017,Phil Dawson,422,K,16,ARZ,0,77,0,0,0,68,60.9,57.7,,,,62.7,1,0,1,0,1
2017,Shane Lechler,673,P,16,HST,0,1,0,93,0,62,56.2,60,,73.8,,,1,0,1,0,0
2017,Julius Peppers,1010,ED,16,CAR,0,0,15,0,65,11,51.3,,,,,,1,0,0,0,0
2017,Dwight Freeney,1019,ED,3,DET,0,0,3,0,0,0,60.7,,,,,,0,0,0,0,0
2017,Matt Bryant,1223,K,16,ATL,0,0,0,0,0,74,60.5,,,,,87,0,0,0,0,0
2017,James Harrison,1251,ED,1,NE,0,0,4,0,3,0,60.3,,,,,,0,0,0,0,0
2017,Terence Newman,1321,CB,3,MIN,0,0,2,0,8,0,61.1,,,,,,0,0,0,0,0
2017,Jason Witten,1384,TE,15,DAL,2,0,0,0,0,68,62.3,,,,,,0,0,0,0,0
2017,Larry Fitzgerald,1724,WR,1,ARZ,2,0,0,0,0,0,60,,61.2,,,,0,0,0,0,0
2017,DeAngelo Hall,1729,S,2,WAS,0,1,6,0,0,0,60.6,,,,61.4,,0,0,0,0,0
2017,Ben Roethlisberger,1732,QB,2,PIT,0,0,0,0,0,0,60,,,,,,2,0,0,0,0
2017,Benjamin Watson,1753,TE,1,BLT,0,0,0,0,0,1,60,,,,,,0,0,0,0,0
2017,Karlos Dansby,1754,LB,16,ARZ,0,0,0,0,60,0,60.8,,,,,,0,0,0,0,0
2017,Andy Lee,1906,P,16,ARZ,0,1,0,90,0,68,63.5,60,,67.8,,,0,0,0,0,0
2017,Donnie Jones,1939,P,16,PHI,0,0,0,69,0,80,44.2,,,56.8,,,0,0,0,0,0
2017,Mike Adams,1972,S,16,CAR,0,0,15,0,65,0,61,,,,,,0,0,0,0,0
2017,Don Muhlbach,2130,LS,16,DET,0,0,0,75,0,77,67.3,,,,,,1,0,0,0,0
2017,Adam Jones,2223,CB,4,CIN,0,0,6,0,0,0,60.1,,,,91.5,,0,0,0,0,0
2017,Thomas Davis Sr.,2231,LB,14,CAR,3,1,0,0,45,0,59.3,,,,,,0,0,0,0,0
2017,Mike Nugent,2264,K,8,CHI,0,36,0,0,0,30,60.6,53.3,,,,60.9,0,0,0,0,0
2017,Khalif Barnes,2269,T,3,ARZ,0,0,0,0,0,16,61.6,,,,,,0,0,0,0,0
2017,Richie Incognito,2298,G,16,BUF,0,0,0,0,0,62,62.9,,,,,,0,0,0,0,0
2017,Dustin Colquitt,2316,P,16,KC,0,1,0,69,0,86,64.1,60,,59.4,,,1,0,1,0,0
2017,Darren Sproles,2347,HB,3,PHI,0,0,11,0,0,0,60.4,,,,55.1,,0,0,0,0,0
2017,Joe Berger,2424,G,16,MIN,0,0,0,0,0,74,54.3,,,,,,1,0,0,0,0
2017,Lorenzo Alexander,2476,ED,16,BUF,3,66,32,79,71,0,65,,,,,,1,0,6,1,4
2017,Jon Condo,2539,LS,16,OAK,0,0,0,72,0,55,60.8,,,,,,0,0,1,1,2
2017,John Denney,2561,LS,16,MIA,0,0,0,83,0,52,57.4,,,,,,0,0,1,0,0
2017,Robbie Gould,2607,K,16,SF,0,4,0,0,0,71,60.5,60,,,,90.4,0,0,0,0,0
2017,John Kuhn,2686,FB,2,NO,14,0,0,0,0,0,54.5,,59.9,,,,0,0,0,0,0
2017,L.P. Ladouceur,2687,LS,16,DAL,0,0,0,66,0,68,77,,,,,,0,0,0,1,0
2017,Nick Novak,2726,K,7,LAC,0,34,0,0,0,31,60.6,64.8,,,,47.7,0,0,0,0,0
2017,Ahmad Brooks,2945,ED,6,GB,0,0,0,0,13,0,59.5,,,,,,0,0,0,0,0
